Shoulder Width,Belly,Neck Circumference,Hip Circumference,Shirt Length,Size
38.745071229516846,75.64816793878958,33.58462925794959,80.50098570069176,65.53668104052242,S
37.79260354824322,74.22983543916737,34.57935467723464,80.69289641899395,65.84117678955235,S
38.971532807151036,73.64615599938809,34.65728548347323,78.63995055684302,66.62457686476291,S
40.28454478461204,76.22335257768174,34.19772273077838,80.46450739432201,66.58070307805235,S
37.648769937915,77.06199904499191,34.83871428833399,80.58614494659736,62.93349594806436,S
37.64879456457623,76.86256023823239,35.404050856814536,78.57129716394726,63.59326244012732,S
40.368819223261085,73.32156495355473,36.88618590121053,83.73154902228951,65.772552900813,S
39.151152093729365,74.38157524829757,35.17457781283184,80.94766584182358,65.77067892636832,S
37.29578842109757,75.66252686280713,35.25755039072276,77.6173930055947,65.77257152945907,S
38.81384006537895,76.95109025424472,34.92555408423383,81.31310721726766,70.77909723598208,S
37.30487346078131,74.04165152430942,33.08122878470096,78.05063665954536,65.85633576603975,S
37.30140536964461,74.62868204667237,34.97348612455078,81.5741692074849,66.7033484602709,S
38.36294340734905,72.78733005198794,35.060230209941025,82.31719115801481,66.4310026452398,S
35.1300796330133,72.60758675183865,37.46324211248529,78.35863536329659,65.9770868769587,S
35.41262325123045,76.6250516447884,34.80763903521888,81.92675225848865,64.52709613303948,S
37.15656870613854,77.71248005714165,35.30154734233361,80.825561853873,66.1384538307399,S
36.48075331949836,74.85597975683933,34.96528823029475,81.64412031998899,63.84076217819364,S
38.47137099889291,77.00706579578404,33.83132196238047,83.7935859653079,64.64477208988998,S
36.63796388671818,75.72327205009528,36.14282281451502,79.50922376799426,64.27195467825635,S
35.881544447997065,73.70976049078975,35.75193303268677,78.49252767128502,65.12281120907949,S
40.19847315338233,75.72279121101683,35.791031947043045,78.22097114074896,68.47198785001027,S
37.6613355492702,78.07607313293194,34.09061254520526,78.36837943006913,62.199102211112375,S
38.10129230703188,74.9283479217801,36.4027943109361,79.8457965811718,66.02939028556177,S
35.86287772067981,78.12928731162802,33.59814893720772,80.6823039496333,62.580926193215525,S
37.183425913212226,69.76050979182051,35.58685709380027,80.55338159866004,64.29210220131586,S
38.1663838845648,76.64380500875045,37.19045562580998,81.65436649807205,66.63342589545105,S
36.273509633866546,75.17409413647634,34.00946367486931,80.02600378375581,65.0964200286432,S
38.56354702751851,74.40198529906826,34.43370227039723,82.90706815431463,63.38338283310604,S
37.09904196512179,75.183521553071,35.09965136508764,79.47068633352409,63.927044436110045,S
37.562459375310084,71.02486217079822,34.4965243458838,85.44033833317924,66.01939662340202,S
37.097440081655904,74.56065622432497,33.449336568933866,81.25133469553002,63.904450052424295,S
40.778417276763406,75.7142251430235,35.06856297480603,78.28568488716743,65.32468788437296,S
37.9797541628931,77.95578808948304,33.9376962862739,77.85821500387777,65.06835775985572,S
36.41343360656615,73.9634595634527,35.47359243063518,80.96494483048637,64.02259947859127,S
39.23381736815478,73.38301279421363,34.0805757657662,79.5530744293483,68.21591613398799,S
36.16873452504347,73.99648591283092,36.54993440501754,81.42800098818418,65.95087853347702,S
38.313295392507136,76.83080423540414,34.216746707663766,80.94647524914708,61.96228612001359,S
35.06049481418034,75.65750221931937,34.67793848379432,79.85434217468625,65.27968147215414,S
36.007720926652354,73.94047959246592,35.81351721736967,78.30641256386319,64.00732030284742,S
38.29529185380368,76.02653486622671,33.76913568356604,76.97030555062827,66.27865000219434,S
39.10769986999311,75.19415509869609,35.22745993460413,79.10697009586596,63.81121889235095,S
38.257052421784955,76.93728998106577,36.30714275428243,81.71279758864695,64.82789533779965,S
37.82652757641764,73.5958938122453,33.39251676543877,80.4281874882604,65.75748091847069,S
37.548344456616064,74.34467570680447,35.1846338585323,77.50852244257602,66.29863279125519,S
35.78221701444886,74.21578369373569,35.259882794248426,80.34636185170237,63.19955538941633,S
36.920233687407936,72.07297010373577,35.78182287177731,80.77063475945768,64.49824814623858,S
37.309041843560315,75.59224055412915,33.763049289121916,78.23228512759773,64.28758203325856,S
39.58568333932838,75.52211054435978,33.679543386915725,80.30745021189105,64.02000615113943,S
38.515427434352695,75.01022691328492,35.5219415656169,80.116417436892,67.64818136042165,S
35.3554397669559,74.5308257332497,35.29698467323318,77.71405940433876,65.60747256644143,S
38.108674068497436,78.34200997815586,36.51090756559801,81.81114468241127,67.90598135409024,M
41.37679292058216,78.87963791960605,37.67535621694955,83.80124995409246,69.43271348075186,M
43.18323429551895,81.49458721024652,37.05765962320202,85.01048739943637,66.52141093049669,M
41.54869789082672,81.22074053086693,36.04006147003658,85.09396118752949,68.75606977327676,M
